crew_id,crew_name,position,home_base,duty_date,duty_start,duty_end,flight_id,flight_hours,is_positioning,start_location,sectors,fdp_hours,acclimatisation
FA1,Ellen Park,Captain,JFK,2026-08-03,08:00,14:00,FA101,5.0,false,JFK,1,,acclimatised
FA1,Ellen Park,Captain,JFK,2026-08-06,09:00,15:00,FA102,5.0,false,JFK,1,,acclimatised
FA1,Ellen Park,Captain,JFK,2026-08-10,08:00,13:30,FA103,4.5,false,JFK,1,,acclimatised
FA2,Frank Osei,Captain,ORD,2026-08-01,06:00,16:00,FA200,10.0,false,ORD,1,,acclimatised
FA2,Frank Osei,Captain,ORD,2026-08-02,06:00,16:00,FA201,10.0,false,ORD,1,,acclimatised
FA2,Frank Osei,Captain,ORD,2026-08-03,06:00,16:00,FA202,10.0,false,ORD,1,,acclimatised
FA2,Frank Osei,Captain,ORD,2026-08-04,06:00,16:00,FA203,10.0,false,ORD,1,,acclimatised
FA2,Frank Osei,Captain,ORD,2026-08-05,06:00,16:00,FA204,10.0,false,ORD,1,,acclimatised
FA2,Frank Osei,Captain,ORD,2026-08-06,06:00,16:00,FA205,10.0,false,ORD,1,,acclimatised
FA2,Frank Osei,Captain,ORD,2026-08-07,06:00,16:00,FA206,10.0,false,ORD,1,,acclimatised
FA2,Frank Osei,Captain,ORD,2026-08-08,06:00,16:00,FA207,10.0,false,ORD,1,,acclimatised
FA2,Frank Osei,Captain,ORD,2026-08-09,06:00,16:00,FA208,10.0,false,ORD,1,,acclimatised
FA2,Frank Osei,Captain,ORD,2026-08-10,06:00,16:00,FA209,10.0,false,ORD,1,,acclimatised
FA2,Frank Osei,Captain,ORD,2026-08-12,06:00,08:00,FA2OVER,0.1,false,ORD,1,,acclimatised
FA3,Grace Torres,First Officer,DFW,2026-08-15,06:00,20:00,FA301,10.0,false,DFW,1,,acclimatised
FA3,Grace Torres,First Officer,DFW,2026-08-16,04:00,12:00,FA302,6.0,false,DFW,1,,acclimatised
FA3,Grace Torres,First Officer,DFW,2026-08-20,07:00,21:06,FA303,11.0,false,DFW,1,,acclimatised
FA4,Hugo Lefort,Captain,LAX,2026-08-01,06:00,18:00,FA400,8.0,false,LAX,1,,acclimatised
FA4,Hugo Lefort,Captain,LAX,2026-08-02,06:00,18:00,FA401,8.0,false,LAX,1,,acclimatised
FA4,Hugo Lefort,Captain,LAX,2026-08-03,06:00,18:00,FA402,8.0,false,LAX,1,,acclimatised
FA4,Hugo Lefort,Captain,LAX,2026-08-04,06:00,18:00,FA403,8.0,false,LAX,1,,acclimatised
FA4,Hugo Lefort,Captain,LAX,2026-08-05,06:00,18:00,FA404,8.0,false,LAX,1,,acclimatised
FA4,Hugo Lefort,Captain,LAX,2026-08-06,06:00,18:00,FA405,8.0,false,LAX,1,,acclimatised
FA4,Hugo Lefort,Captain,LAX,2026-08-07,06:00,18:00,FA406,8.0,false,LAX,1,,acclimatised
FA4,Hugo Lefort,Captain,LAX,2026-08-08,06:00,18:00,FA407,8.0,false,LAX,1,,acclimatised
FA4,Hugo Lefort,Captain,LAX,2026-08-14,10:00,14:00,FA4DHD,,true,LAX,,,acclimatised
